Session Title,Massachusetts only ICD10s for Diabetes and % w/HA1C 6.5+ by Age Sex Race and Year,,,,,
Session ID,2792141,,,,,
Data Model,Patients,,,,,
Population Base,All Patients,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence: Massachusetts,Base Patient,,,,
Session Date Range,1/1/2018 - 12/17/2025,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,1/21/2026,,,,,
,,,,,,
,,,,,,
,,,Measures,Percentage with Diagnosis (All): diabetes ICD10 E08-E13 (%),Percentage with Hemoglobin A1C 6.5% or more (%),Number of Patients
Year,Age at Encounter in Years,Patient Legal Sex,Patient Race,,,
Jan 1 – Dec 31 2018,Less than 18 Years,Male,Black or African American,1.07%,0.84%,27276
,,,Native Hawaiian or Other Pacific Islander,-,-,716
,,,Asian,0.64%,0.48%,7682
,,,Other Race,1.29%,1.06%,25891
,,,White,0.97%,0.81%,84886
,,,American Indian or Alaska Native,0.81%,0.81%,1720
,,,None of the above,0.42%,0.33%,25680
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",0.87%,0.70%,153388
,,Female,Black or African American,1.42%,1.14%,26946
,,,Native Hawaiian or Other Pacific Islander,-,-,792
,,,Asian,0.86%,0.67%,7449
,,,Other Race,1.48%,1.18%,25759
,,,White,1.11%,0.86%,82214
,,,American Indian or Alaska Native,0.69%,-,1727
,,,None of the above,0.43%,0.31%,24467
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",1.00%,0.78%,147831
,,"Total: Total includes all data under the Less than 18 Years bucket, including data from rows not currently displayed.",Black or African American,1.25%,0.99%,54235
,,,Native Hawaiian or Other Pacific Islander,0.80%,-,1509
,,,Asian,0.75%,0.57%,15138
,,,Other Race,1.39%,1.12%,51671
,,,White,1.04%,0.83%,167184
,,,American Indian or Alaska Native,0.75%,0.67%,3449
,,,None of the above,0.42%,0.32%,50156
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",0.93%,0.74%,301333
,≥ 18 and < 35 Years,Male,Black or African American,5.28%,4.51%,22501
,,,Native Hawaiian or Other Pacific Islander,5.45%,4.20%,880
,,,Asian,4.04%,3.35%,7394
,,,Other Race,5.62%,4.50%,23931
,,,White,3.46%,2.72%,97344
,,,American Indian or Alaska Native,7.01%,5.61%,1926
,,,None of the above,3.31%,2.48%,17113
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",3.77%,2.99%,148270
,,Female,Black or African American,4.93%,3.99%,36429
,,,Native Hawaiian or Other Pacific Islander,5.00%,3.94%,1420
,,,Asian,3.41%,2.59%,13053
,,,Other Race,4.86%,3.53%,40303
,,,White,2.94%,1.94%,143815
,,,American Indian or Alaska Native,4.75%,3.44%,3285
,,,None of the above,2.47%,1.61%,22872
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",3.27%,2.30%,219975
,,"Total: Total includes all data under the ≥ 18 and &lt; 35 Years bucket, including data from rows not currently displayed.",Black or African American,5.07%,4.19%,58973
,,,Native Hawaiian or Other Pacific Islander,5.17%,4.04%,2301
,,,Asian,3.64%,2.86%,20462
,,,Other Race,5.14%,3.89%,64283
,,,White,3.15%,2.26%,241345
,,,American Indian or Alaska Native,5.58%,4.24%,5218
,,,None of the above,2.83%,1.98%,39999
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",3.47%,2.58%,368505
,≥ 35 and < 45 Years,Male,Black or African American,16.45%,14.50%,13244
,,,Native Hawaiian or Other Pacific Islander,18.66%,16.12%,552
,,,Asian,14.93%,12.92%,5357
,,,Other Race,15.82%,13.58%,16609
,,,White,10.31%,8.15%,61913
,,,American Indian or Alaska Native,16.74%,13.73%,1326
,,,None of the above,10.23%,7.72%,11133
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",11.55%,9.37%,95112
,,Female,Black or African American,13.77%,11.37%,19601
,,,Native Hawaiian or Other Pacific Islander,11.31%,9.12%,822
,,,Asian,8.40%,6.60%,8543
,,,Other Race,12.21%,9.14%,24211
,,,White,7.45%,5.12%,85392
,,,American Indian or Alaska Native,12.07%,8.75%,1988
,,,None of the above,6.42%,4.63%,14373
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",8.50%,6.16%,131939
,,"Total: Total includes all data under the ≥ 35 and &lt; 45 Years bucket, including data from rows not currently displayed.",Black or African American,14.85%,12.63%,32855
,,,Native Hawaiian or Other Pacific Islander,14.26%,11.94%,1374
,,,Asian,10.92%,9.03%,13904
,,,Other Race,13.68%,10.95%,40827
,,,White,8.65%,6.40%,147350
,,,American Indian or Alaska Native,13.93%,10.74%,3316
,,,None of the above,8.08%,5.98%,25514
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",9.78%,7.50%,227115
,≥ 45 and < 55 Years,Male,Black or African American,30.93%,27.39%,14620
,,,Native Hawaiian or Other Pacific Islander,28.88%,24.68%,547
,,,Asian,26.61%,23.10%,5467
,,,Other Race,28.41%,24.19%,16092
,,,White,18.99%,14.95%,82443
,,,American Indian or Alaska Native,26.53%,22.17%,1353
,,,None of the above,17.48%,13.23%,11771
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",20.88%,16.85%,116995
,,Female,Black or African American,27.52%,23.51%,18942
,,,Native Hawaiian or Other Pacific Islander,26.54%,21.35%,712
,,,Asian,16.66%,14.26%,7755
,,,Other Race,22.48%,17.46%,21492
,,,White,12.52%,8.88%,109476
,,,American Indian or Alaska Native,22.65%,17.28%,1823
,,,None of the above,11.70%,8.38%,14622
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",14.73%,11.04%,153666
,,"Total: Total includes all data under the ≥ 45 and &lt; 55 Years bucket, including data from rows not currently displayed.",Black or African American,29.00%,25.19%,33568
,,,Native Hawaiian or Other Pacific Islander,27.56%,22.80%,1259
,,,Asian,20.78%,17.92%,13226
,,,Other Race,25.02%,20.34%,37592
,,,White,15.30%,11.49%,191955
,,,American Indian or Alaska Native,24.31%,19.36%,3176
,,,None of the above,14.28%,10.54%,26396
